genotype,treatment,shoot_length,root_length
"hk3,4,5",10,5.923,6.128
"hk3,4,5",10,5.832,5.749
"hk3,4,5",10,5.977,5.962
"hk3,4,5",10,5.615,4.107
"hk3,4,5",10,5.34,5.298
"hk3,4,5",10,6.11,6.229
"hk3,4,5",10,4.854,4.691
"hk3,4,5",10,4.984,5.238
"hk3,4,5",10,5.114,4.707
"hk3,4,5",10,4.88,5.157
"hk3,4,5",10,5.117,5.403
"hk3,4,5",10,4.899,4.893
"hk3,4,5",10,4.32,5.027
"hk3,4,5",10,4.306,4.301
"hk3,4,5",10,3.236,4.251
"hk3,4,5",10,4.826,3.825
"hk3,4,5",10,4.752,4.997
"hk3,4,5",10,4.263,4.339
"hk3,4,5",10,4.734,4.867
"hk3,4,5",10,5.206,5.27
"hk3,4,5",10,5.44,5.531
"hk3,4,5",10,5.451,5.625
"hk3,4,5",10,0,4.269
"hk3,4,5",10,4.298,5.04
"hk3,4,5",50,4.813,4.934
"hk3,4,5",50,4.78,5.06
"hk3,4,5",50,4.627,4.228
"hk3,4,5",50,4.118,4.017
"hk3,4,5",50,4.656,5.166
"hk3,4,5",50,4.661,5.085
"hk3,4,5",50,4.15,4.293
"hk3,4,5",50,3.904,5.021
"hk3,4,5",50,3.806,4.173
"hk3,4,5",50,3.008,3.037
"hk3,4,5",50,4.406,4.368
"hk3,4,5",50,5.217,5.054
"hk3,4,5",50,1.143,0.623
"hk3,4,5",50,2.14,2.322
"hk3,4,5",50,3.503,3.615
"hk3,4,5",50,4.784,4.501
"hk3,4,5",50,4.259,3.749
"hk3,4,5",50,5.232,4.655
"hk3,4,5",50,4.375,4.114
"hk3,4,5",50,2.505,2.428
"hk3,4,5",50,2.995,4.046
"hk3,4,5",50,4.154,4.035
"hk3,4,5",50,3.089,3.009
"hk3,4,5",50,4.105,3.998
"hk3,4,5",50,5.264,4.761
"hk3,4,5",veh,5.044,6.83
"hk3,4,5",veh,3.586,6.049
"hk3,4,5",veh,5.378,6.796
"hk3,4,5",veh,6.122,7.24
"hk3,4,5",veh,5.652,6.59
"hk3,4,5",veh,5.97,6.585
"hk3,4,5",veh,2.47,3.828
"hk3,4,5",veh,5.147,6.334
"hk3,4,5",veh,4.559,5.892
"hk3,4,5",veh,4.198,5.4
"hk3,4,5",veh,5.853,6.849
"hk3,4,5",veh,5.854,6.653
"hk3,4,5",veh,6.127,6.461
"hk3,4,5",veh,3.645,6.386
